timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1558924475565,32969,HTTP Request,200,,Thread Group 1-1892,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32969,0,1
1558924475614,32933,HTTP Request,200,,Thread Group 1-1902,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32933,0,1
1558924475601,32951,HTTP Request,200,,Thread Group 1-1897,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32951,0,0
1558924475610,32946,HTTP Request,200,,Thread Group 1-1900,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32946,0,0
1558924475577,32994,HTTP Request,200,,Thread Group 1-729,text,true,,148,258,2500,2500,http://localhost:8080/pagamento,32994,0,1
1558924476256,32321,HTTP Request,200,,Thread Group 1-1952,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32321,0,0
1558924475557,33076,HTTP Request,200,,Thread Group 1-1890,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33076,0,1
1558924475542,33096,HTTP Request,200,,Thread Group 1-1886,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33096,0,0
1558924475555,33089,HTTP Request,200,,Thread Group 1-1889,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33089,0,1
1558924475544,33104,HTTP Request,200,,Thread Group 1-1887,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33104,0,0
1558924475538,33125,HTTP Request,200,,Thread Group 1-1884,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33125,0,0
1558924468946,39742,HTTP Request,200,,Thread Group 1-863,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39742,0,7088
1558924475531,33161,HTTP Request,200,,Thread Group 1-1881,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33161,0,0
1558924475533,33162,HTTP Request,200,,Thread Group 1-1882,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33162,0,1
1558924475526,33185,HTTP Request,200,,Thread Group 1-1879,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33184,0,0
1558924475535,33177,HTTP Request,200,,Thread Group 1-1883,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33177,0,1
1558924476029,32707,HTTP Request,200,,Thread Group 1-1935,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32707,0,0
1558924476017,32731,HTTP Request,200,,Thread Group 1-1933,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32731,0,0
1558924475964,32800,HTTP Request,200,,Thread Group 1-1927,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32800,0,1
1558924475945,32834,HTTP Request,200,,Thread Group 1-1925,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32834,0,0
1558924475981,32807,HTTP Request,200,,Thread Group 1-1928,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32807,0,1
1558924475872,32939,HTTP Request,200,,Thread Group 1-1921,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32939,0,1
1558924475880,32940,HTTP Request,200,,Thread Group 1-1922,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32940,0,0
1558924475867,32961,HTTP Request,200,,Thread Group 1-1920,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32961,0,0
1558924475853,32992,HTTP Request,200,,Thread Group 1-1918,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32992,0,1
1558924468933,39947,HTTP Request,200,,Thread Group 1-861,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39947,0,7101
1558924468876,40011,HTTP Request,200,,Thread Group 1-843,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40011,0,7158
1558924468936,39958,HTTP Request,200,,Thread Group 1-862,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39958,0,7098
1558924468899,40006,HTTP Request,200,,Thread Group 1-848,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40006,0,7135
1558924469061,39871,HTTP Request,200,,Thread Group 1-903,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39871,0,7230
1558924468983,39988,HTTP Request,200,,Thread Group 1-876,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39988,0,7051
1558924468999,39985,HTTP Request,200,,Thread Group 1-883,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39985,0,7292
1558924468974,40031,HTTP Request,200,,Thread Group 1-872,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40031,0,7060
1558924468969,40037,HTTP Request,200,,Thread Group 1-870,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40037,0,7066
1558924468910,40105,HTTP Request,200,,Thread Group 1-851,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40105,0,7124
1558924468967,40053,HTTP Request,200,,Thread Group 1-869,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40053,0,7068
1558924468920,40108,HTTP Request,200,,Thread Group 1-857,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40108,0,7115
1558924468958,40098,HTTP Request,200,,Thread Group 1-865,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40098,0,7077
1558924476096,32975,HTTP Request,200,,Thread Group 1-1940,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32975,0,1
1558924476184,32890,HTTP Request,200,,Thread Group 1-1946,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32890,0,11
1558924469123,39955,HTTP Request,200,,Thread Group 1-930,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39955,0,7169
1558924476081,33034,HTTP Request,200,,Thread Group 1-1939,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33034,0,0
1558924476282,32889,HTTP Request,200,,Thread Group 1-1953,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32889,0,1
1558924476162,33014,HTTP Request,200,,Thread Group 1-1943,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33014,0,0
1558924469228,39955,HTTP Request,200,,Thread Group 1-963,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,39955,0,7062
1558924469171,40018,HTTP Request,200,,Thread Group 1-950,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40018,0,7119
1558924476468,32734,HTTP Request,200,,Thread Group 1-1995,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,32734,0,1
1558924476160,33050,HTTP Request,200,,Thread Group 1-1942,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33050,0,1
1558924476072,33142,HTTP Request,200,,Thread Group 1-1937,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33142,0,2
1558924468978,40261,HTTP Request,200,,Thread Group 1-874,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40261,0,7056
1558924476187,33055,HTTP Request,200,,Thread Group 1-1947,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33055,0,0
1558924476201,33043,HTTP Request,200,,Thread Group 1-1948,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33043,0,0
1558924468985,40262,HTTP Request,200,,Thread Group 1-877,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40262,0,7049
1558924468907,40361,HTTP Request,200,,Thread Group 1-850,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40361,0,7127
1558924468919,40369,HTTP Request,200,,Thread Group 1-855,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40369,0,7115
1558924468928,40364,HTTP Request,200,,Thread Group 1-860,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40364,0,7106
1558924476214,33084,HTTP Request,200,,Thread Group 1-1949,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33084,0,0
1558924468914,40403,HTTP Request,200,,Thread Group 1-852,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40403,0,7120
1558924468922,40402,HTTP Request,200,,Thread Group 1-859,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40402,0,7112
1558924469217,40123,HTTP Request,200,,Thread Group 1-961,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40123,0,7074
1558924469202,40152,HTTP Request,200,,Thread Group 1-960,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40152,0,7089
1558924469230,40164,HTTP Request,200,,Thread Group 1-966,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40164,0,7060
1558924469122,40273,HTTP Request,200,,Thread Group 1-929,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40273,0,7170
1558924469188,40213,HTTP Request,200,,Thread Group 1-955,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40213,0,7103
1558924469131,40284,HTTP Request,200,,Thread Group 1-931,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40284,0,7161
1558924469117,40332,HTTP Request,200,,Thread Group 1-926,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40332,0,7174
1558924469085,40374,HTTP Request,200,,Thread Group 1-913,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40374,0,7206
1558924468918,40558,HTTP Request,200,,Thread Group 1-856,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40558,0,7117
1558924476266,33225,HTTP Request,200,,Thread Group 1-1954,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33225,0,1
1558924476161,33330,HTTP Request,200,,Thread Group 1-1944,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33330,0,0
1558924468903,40609,HTTP Request,200,,Thread Group 1-849,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40609,0,7131
1558924468914,40603,HTTP Request,200,,Thread Group 1-853,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40603,0,7121
1558924469175,40343,HTTP Request,200,,Thread Group 1-952,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40343,0,7115
1558924476238,33290,HTTP Request,200,,Thread Group 1-1950,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33290,0,1
1558924469196,40337,HTTP Request,200,,Thread Group 1-958,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40337,0,7094
1558924469230,40311,HTTP Request,200,,Thread Group 1-965,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40311,0,7060
1558924476285,33263,HTTP Request,200,,Thread Group 1-1955,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33263,0,1
1558924468917,40645,HTTP Request,200,,Thread Group 1-854,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40645,0,7118
1558924468962,40610,HTTP Request,200,,Thread Group 1-867,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40610,0,7073
1558924469140,40432,HTTP Request,200,,Thread Group 1-934,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40432,0,7150
1558924476116,33462,HTTP Request,200,,Thread Group 1-1941,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33462,0,1
1558924468956,40631,HTTP Request,200,,Thread Group 1-864,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40631,0,7079
1558924476245,33342,HTTP Request,200,,Thread Group 1-1951,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,33342,0,1
1558924468896,40697,HTTP Request,200,,Thread Group 1-847,text,true,,148,259,2500,2500,http://localhost:8080/pagamento,40697,0,7138
